,Company,Date,Trade,Job,Job_Cleaned,Job_Focus,Word_Count,Project_Type,Total_Pay,Pay_Rate_Type,Pay_Rate_in_Dollars,Pay_Rate_Original,Hours_Worked,Avg_Hourly_Pay,How Quickly?,Pay Format,Relationship,Rights,Contract,On-site,Kill Fee,Kill Fee Amount,Overtime,Scope Expansion,Expenses,Reimbursement,Workplace Safety,Pitch Guide,Listed Rates,Grant Funding,Grant Rate,Section,Country,FSP Membership,State,Company Country,Pronouns,Race and/or Ethnicity,Career Level,Age,Experience,Gender Identity,Original_Date,company_names_clean,news_type
1,10Ten Media,2024-06-12,Writer,"5,000 to 6,000 word copy for bookazine",5000 to 6000 word copy for bookazine,writing and reporting,5500,article,3000,flat,3000,$3000 flat rate,15,200,,Check by mail,Pre-existing relationship,Work For Hire,Yes,No,"Yes, but the job wasn't killed",1000,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Entertainment,United States,Yes,New York,United States,She/Her,Prefer not to say,10-15 years,,Loved it,Female,2024-06-12,10Ten Media,not_news
2,1843 Magazine,2020-05-01,Writer,1500 word essay,1500 word essay,writing and reporting,1500,essay,900,,0,,,,2 weeks or less,Direct Deposit,They asked me to pitch,,,No,,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,,,,,,,,5-10 years,,,,2020-05-01,1843 Magazine,news
3,A corporate winemaker,2021-03-20,Writer,Editorial for their advertising campaign,editorial for their advertising campaign,writing and reporting,,op/ed,2600,per word,1,"$1/word for 4 articles of 500 words, $300/day for 2 days of on-site shooting",,,30 days,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,Yes,"No, but the job wasn't killed",,Required overtime &amp; I wasn't compensated,Job expanded &amp; I wasn't compensated,Required expenses &amp; I was reimbursed,I submitted receipts and they paid me,"Was not hazardous, Hazard pay was not required",No,No,No,,"Travel, Branded/Sponsored Content",France,No,,France,She/Her,White,5-10 years,34,Whatevs,Female,2021-03-20,Not Specified,not_news
4,A ttrpg content book (fan made),2021-11-15,Illustrator,Cover,cover,other,,other,400,,0,,,,2 weeks or less,Paypal,They reached out to me with an assignment,Commercial use and prints,Verbal or ‘handshake’ agreement,No,"Yes, but the job wasn't killed",200,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Ttrpg,Norway,No,,Usa,Prefer not to say,Prefer not to say,0-5 years,37,Loved it,Prefer not to say,2021-11-15,Not Specified,not_news
5,A university,2024-05-06,Writer,Two 700-word articles for an alumni magazine specific to one of the schools within the university.,two 700 word articles for an alumni magazine specific to one of the schools within the university.,writing and reporting,1400,article,2100,per word,1.5,$1.50 a word,30,70,2 weeks or less,Check by mail,Pre-existing relationship,Work For Hire,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,Unsure,,Academic,United States,Yes,Vermont,United States,She/Her,White,25 &amp; up,61,Loved it,Female,2024-05-06,Not Specified,not_news
6,A+E Networks,2018-06-01,Jr Video Editor + Post Coordinator,"Syncing, finishing edits, some graphics, assisting ~8 editors",syncing finishing edits some graphics assisting ~8 editors,editing,,graphics,73000,per hour,35,$35 per hour (+OT),,,2 weeks or less,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,Yes,"No, but the job wasn't killed",,Required overtime &amp; I was compensated,Job expanded &amp; I was compensated,Did not require expenses,,Was not hazardous,Unsure,No,No,,"Entertainment, History, Non Fiction General/Genre, Non Fiction Memoir",United States,Yes,NY,United States,He/His,"Jewish, White",5-10 years,27,Whatevs,Cis,2018-06-01,A+E Global Media,news
7,AAA,2024-01-01,Writer,600 words reporting,600 words reporting,writing and reporting,600,article,300,per word,0.5,$.50 per word,,,30 days,Direct Deposit,,,Yes,No,,,,,,,,,,,,,USA,,,,,,5-10 years,,Loved it,,2024-01-01,AAA,not_news
8,aaa digital content,2024-09-01,Writer,"nonfiction article 600 words, one interview source",nonfiction article 600 words one interview source,writing and reporting,600,article,325,per word,0.5,"$0.5 a word, up to $350",6,54.17,New Job - Still Waiting,Direct Deposit,No pre-existing relationship,1st Rights,Yes,No,"Yes, but the job wasn't killed",70,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Unsure,No,No,,Travel,USA,Yes,Texas,USA,She/Her,White,25 &amp; up,59,Would recommend to others,Female,2024-09-01,AAA,not_news
9,AARP magazine (digital),2024-07-15,Writer,Penned a 1200 word article for the travel vertical,penned a 1200 word article for the travel vertical,writing and reporting,1200,article,1200,per word,1,$1/word,20,60,30 days,Direct Deposit,Cold pitch - I reached out to them,I don't no. I'm very bad about reading contracts.,Yes,No,"Yes, but the job wasn't killed",300,I was paid per word so there is no overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,Travel,USA,No,DC (sigh - we are not actually a state),USA,She/Her,White,25 &amp; up,58,Would recommend to others,Female,2024-07-15,AARP: The Magazine,ambiguous
10,"Accelerate Learning, Inc.",2024-01-01,Editor,copy editing grade-school math lesson plans,copy editing grade school math lesson plans,editing,,other,14923,per hour,29,$29 per hour,515,28.98,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",,Yes,No,,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,,No,No,,,United States,Yes,Massachusetts,United States,They/Their,White,15-20 years,28,Whatevs,"Genderqueer, Trans",2024-01-01,"Accelerate Learning, Inc.",not_news
